x,y,z
0.36384,-0.43823,-0.28705
0.35451,-0.46500,-0.23882
0.34514,-0.49134,-0.18999
0.33574,-0.51725,-0.14068
0.32630,-0.54268,-0.09102
0.31683,-0.56763,-0.04114
0.30733,-0.59207,0.00885
0.29780,-0.61598,0.05882
0.28824,-0.63933,0.10864
0.27865,-0.66211,0.15818
0.26903,-0.68429,0.20734
0.25939,-0.70585,0.25597
0.24972,-0.72678,0.30396
0.24002,-0.74706,0.35120
0.23030,-0.76666,0.39756
0.22056,-0.78558,0.44292
0.21080,-0.80378,0.48717
0.20101,-0.82127,0.53021
0.19120,-0.83801,0.57193
0.18138,-0.85400,0.61221
0.17154,-0.86922,0.65096
0.16168,-0.88366,0.68809
0.15180,-0.89731,0.72349
0.14191,-0.91014,0.75709
0.13200,-0.92216,0.78880
0.12208,-0.93335,0.81853
0.11215,-0.94370,0.84622
0.10221,-0.95319,0.87179
0.09226,-0.96183,0.89519
0.08230,-0.96961,0.91634
0.07233,-0.97651,0.93521
0.06235,-0.98254,0.95174
0.05237,-0.98767,0.96589
0.04238,-0.99193,0.97762
0.03238,-0.99528,0.98692
0.02239,-0.99775,0.99374
0.01239,-0.99931,0.99808
0.00239,-0.99997,0.99993
-0.00761,-0.99974,0.99928
-0.01761,-0.99860,0.99613
-0.02761,-0.99657,0.99049
-0.03760,-0.99364,0.98237
-0.04759,-0.98982,0.97180
-0.05758,-0.98510,0.95880
-0.06756,-0.97950,0.94340
-0.07753,-0.97302,0.92565
-0.08750,-0.96566,0.90558
-0.09746,-0.95743,0.88325
-0.10740,-0.94834,0.85871
-0.11734,-0.93840,0.83202
-0.12726,-0.92761,0.80326
-0.13718,-0.91599,0.77248
-0.14708,-0.90354,0.73978
-0.15696,-0.89028,0.70523
-0.16683,-0.87622,0.66891
-0.17668,-0.86137,0.63092
-0.18651,-0.84575,0.59136
-0.19633,-0.82936,0.55031
-0.20612,-0.81223,0.50790
-0.21590,-0.79437,0.46421
-0.22565,-0.77579,0.41936
-0.23538,-0.75651,0.37346
-0.24509,-0.73656,0.32664
-0.25477,-0.71594,0.27899
-0.26443,-0.69467,0.23065
-0.27406,-0.67278,0.18173
-0.28366,-0.65029,0.13235
-0.29324,-0.62721,0.08265
-0.30278,-0.60356,0.03274
-0.31230,-0.57938,-0.01726
-0.32178,-0.55467,-0.06721
-0.33123,-0.52946,-0.11699
-0.34065,-0.50377,-0.16648
-0.35004,-0.47764,-0.21555
-0.35939,-0.45107,-0.26409
-0.36870,-0.42410,-0.31196
-0.37798,-0.39674,-0.35906
-0.38722,-0.36903,-0.40526
-0.39642,-0.34098,-0.45044
-0.40558,-0.31263,-0.49450
-0.41470,-0.28400,-0.53732
-0.42378,-0.25511,-0.57880
-0.43281,-0.22599,-0.61884
-0.44181,-0.19667,-0.65732
-0.45076,-0.16717,-0.69416
-0.45966,-0.13753,-0.72927
-0.46852,-0.10775,-0.76256
-0.47733,-0.07788,-0.79394
-0.48609,-0.04794,-0.82333
-0.49481,-0.01796,-0.85067
-0.50347,0.01204,-0.87588
-0.51209,0.04202,-0.89890
-0.52065,0.07197,-0.91968
-0.52916,0.10186,-0.93815
-0.53762,0.13165,-0.95429
-0.54602,0.16133,-0.96803
-0.55437,0.19086,-0.97936
-0.56267,0.22022,-0.98824
-0.57091,0.24938,-0.99464
-0.57909,0.27831,-0.99857
-0.58721,0.30700,-0.99999
-0.59528,0.33541,-0.99892
-0.60328,0.36351,-0.99535
-0.61123,0.39129,-0.98929
-0.61911,0.41872,-0.98076
-0.62693,0.44577,-0.96978
-0.63469,0.47242,-0.95638
-0.64239,0.49865,-0.94058
-0.65002,0.52442,-0.92243
-0.65759,0.54973,-0.90198
-0.66509,0.57454,-0.87927
-0.67252,0.59883,-0.85437
-0.67989,0.62258,-0.82733
-0.68719,0.64577,-0.79822
-0.69442,0.66839,-0.76712
-0.70158,0.69040,-0.73410
-0.70867,0.71179,-0.69924
-0.71569,0.73253,-0.66264
-0.72264,0.75262,-0.62438
-0.72951,0.77203,-0.58456
-0.73632,0.79075,-0.54328
-0.74305,0.80876,-0.50064
-0.74970,0.82604,-0.45675
-0.75628,0.84257,-0.41171
-0.76279,0.85835,-0.36565
-0.76921,0.87335,-0.31868
-0.77557,0.88757,-0.27091
-0.78184,0.90099,-0.22246
-0.78804,0.91359,-0.17345
-0.79415,0.92538,-0.12401
-0.80019,0.93633,-0.07427
-0.80615,0.94644,-0.02433
-0.81202,0.95570,0.02566
-0.81782,0.96410,0.07559
-0.82353,0.97163,0.12534
-0.82916,0.97829,0.17476
-0.83471,0.98407,0.22376
-0.84018,0.98896,0.27219
-0.84556,0.99296,0.31994
-0.85086,0.99606,0.36689
-0.85607,0.99827,0.41293
-0.86119,0.99959,0.45793
-0.86623,1.00000,0.50179
-0.87119,0.99951,0.54439
-0.87605,0.99813,0.58564
-0.88083,0.99584,0.62542
-0.88552,0.99266,0.66363
-0.89012,0.98858,0.70019
-0.89463,0.98362,0.73500
-0.89906,0.97777,0.76797
-0.90339,0.97104,0.79902
-0.90763,0.96344,0.82808
-0.91179,0.95497,0.85506
-0.91585,0.94564,0.87991
-0.91982,0.93546,0.90255
-0.92369,0.92444,0.92295
-0.92748,0.91258,0.94103
-0.93117,0.89991,0.95676
-0.93477,0.88642,0.97011
-0.93828,0.87214,0.98102
-0.94169,0.85707,0.98949
-0.94501,0.84123,0.99548
-0.94823,0.82463,0.99898
-0.95136,0.80730,0.99999
-0.95439,0.78923,0.99850
-0.95733,0.77046,0.99451
-0.96017,0.75099,0.98803
-0.96292,0.73084,0.97909
-0.96557,0.71004,0.96770
-0.96812,0.68860,0.95389
-0.97058,0.66654,0.93769
-0.97294,0.64388,0.91915
-0.97520,0.62064,0.89832
-0.97736,0.59684,0.87524
-0.97943,0.57250,0.84997
-0.98140,0.54765,0.82258
-0.98327,0.52231,0.79313
-0.98504,0.49649,0.76170
-0.98671,0.47023,0.72836
-0.98829,0.44355,0.69321
-0.98977,0.41647,0.65632
-0.99114,0.38901,0.61779
-0.99242,0.36120,0.57772
-0.99360,0.33307,0.53620
-0.99468,0.30464,0.49334
-0.99566,0.27593,0.44925
-0.99654,0.24697,0.40404
-0.99732,0.21780,0.35781
-0.99800,0.18842,0.31070
-0.99859,0.15888,0.26280
-0.99907,0.12919,0.21425
-0.99945,0.09939,0.16517
-0.99973,0.06950,0.11567
-0.99991,0.03955,0.06588
-0.99999,0.00956,0.01593
