time,on/off,note,velocity,channel,param
54.5,off,64,0,1,
54.5,off,59,0,2,
54.5,on,69,127,1,
54.5,on,60,127,2,
54.75,off,57,0,3,
54.75,on,45,127,3,
55.0,off,60,0,2,
55.0,off,45,0,3,
55.0,on,59,127,2,
55.0,on,40,127,3,
55.25,off,69,0,1,
55.25,on,66,127,1,
55.5,off,59,0,2,
55.5,off,66,0,1,
55.5,on,67,127,1,
55.5,on,64,127,2,
56.0,off,40,0,3,
56.0,off,67,0,1,
56.0,on,69,127,0,
56.0,on,66,127,1,
56.25,off,64,0,2,
56.25,on,57,127,2,
56.5,off,57,0,2,
56.5,on,62,127,2,
56.75,off,66,0,1,
56.75,on,74,127,1,
57.0,off,69,0,0,
57.0,off,74,0,1,
57.0,on,76,127,0,
57.0,on,68,127,1,
57.0,on,52,127,3,
57.25,off,62,0,2,
57.25,on,62,127,2,
57.5,off,62,0,2,
57.5,on,60,127,2,
57.75,off,60,0,2,
57.75,on,59,127,2,
58.0,off,76,0,0,
58.0,off,68,0,1,
58.0,off,52,0,3,
58.0,off,59,0,2,
58.0,on,72,127,0,
58.0,on,69,127,1,
58.0,on,60,127,2,
58.0,on,57,127,3,
58.25,off,60,0,2,
58.25,on,62,127,2,
58.5,off,69,0,1,
58.5,off,62,0,2,
58.5,on,64,127,2,
58.75,on,57,127,1,
59.0,off,72,0,0,
59.0,off,57,0,3,
59.0,off,57,0,1,
59.0,on,69,127,0,
59.0,on,60,127,1,
59.0,on,53,127,3,
59.25,off,64,0,2,
59.25,on,64,127,2,
59.5,off,60,0,1,
59.5,off,64,0,2,
59.5,on,57,127,1,
59.5,on,62,127,2,
59.75,off,62,0,2,
59.75,on,60,127,2,
60.0,off,69,0,0,
60.0,off,57,0,1,
60.0,off,60,0,2,
60.0,on,68,127,0,
60.0,on,62,127,1,
60.0,on,59,127,2,
60.25,off,53,0,3,
60.25,on,53,127,3,
60.5,off,62,0,1,
60.5,off,53,0,3,
60.5,on,65,127,1,
60.5,on,52,127,3,
60.75,off,52,0,3,
60.75,on,50,127,3,
61.0,off,68,0,0,
61.0,off,59,0,2,
61.0,off,65,0,1,
61.0,off,50,0,3,
61.0,on,69,127,0,
61.0,on,64,127,1,
61.0,on,60,127,2,
61.0,on,48,127,3,
61.25,off,48,0,3,
61.25,on,50,127,3,
61.5,off,69,0,0,
61.5,off,64,0,1,
61.5,off,60,0,2,
61.5,off,50,0,3,
61.5,on,71,127,0,
61.5,on,62,127,1,
61.5,on,56,127,2,
61.5,on,48,127,3,
61.75,off,48,0,3,
61.75,on,47,127,3,
62.0,off,71,0,0,
62.0,off,62,0,1,
62.0,off,56,0,2,
62.0,off,47,0,3,
62.0,on,72,127,0,
62.0,on,60,127,1,
62.0,on,57,127,2,
62.0,on,45,127,3,
62.25,off,57,0,2,
62.25,on,55,127,2,
62.5,off,60,0,1,
62.5,off,55,0,2,
62.5,on,69,127,1,
62.5,on,54,127,2,
62.75,off,54,0,2,
62.75,on,52,127,2,
63.0,off,45,0,3,
63.0,off,52,0,2,
63.0,on,54,127,2,
63.0,on,50,127,3,
63.25,off,72,0,0,
63.25,on,74,127,0,
63.5,off,69,0,1,
63.5,off,54,0,2,
63.5,off,74,0,0,
63.5,on,72,127,0,
63.5,on,62,127,1,
63.5,on,55,127,2,
63.75,off,72,0,0,
63.75,on,70,127,0,
64.0,off,50,0,3,
64.0,off,62,0,1,
64.0,off,70,0,0,
64.0,on,69,127,0,
64.0,on,64,127,1,
64.0,on,49,127,3,
64.25,off,55,0,2,
64.25,on,55,127,2,
64.5,off,69,0,0,
64.5,off,64,0,1,
64.5,off,55,0,2,
64.5,on,69,127,1,
64.5,on,53,127,2,
64.75,off,53,0,2,
64.75,on,52,127,2,
65.0,off,49,0,3,
65.0,off,52,0,2,
65.0,on,53,127,2,
65.0,on,45,127,3,
65.25,off,69,0,1,
65.25,off,53,0,2,
65.25,on,67,127,1,
65.25,on,52,127,2,
65.5,off,67,0,1,
65.5,off,52,0,2,
65.5,on,69,127,0,
65.5,on,65,127,1,
65.5,on,50,127,2,
65.75,off,65,0,1,
65.75,off,50,0,2,
65.75,on,64,127,1,
65.75,on,49,127,2,
66.0,off,45,0,3,
66.0,off,64,0,1,
66.0,off,49,0,2,
66.0,on,62,127,1,
66.0,on,50,127,2,
66.0,on,42,127,3,
66.25,off,69,0,0,
66.25,on,72,127,0,
66.5,off,50,0,2,
66.5,off,72,0,0,
66.5,on,70,127,0,
66.75,off,70,0,0,
66.75,on,69,127,0,
67.0,off,42,0,3,
67.0,off,69,0,0,
67.0,on,70,127,0,
67.0,on,43,127,3,
67.25,off,70,0,0,
67.25,on,69,127,0,
67.5,off,43,0,3,
67.5,off,69,0,0,
67.5,on,67,127,0,
67.5,on,45,127,3,
67.75,off,67,0,0,
67.75,on,66,127,0,
68.0,off,45,0,3,
68.0,off,66,0,0,
68.0,on,67,127,0,
68.0,on,46,127,3,
68.25,off,62,0,1,
68.25,on,62,127,1,
68.5,off,62,0,1,
68.5,on,67,127,1,
68.75,off,67,0,0,
68.75,on,70,127,0,
69.0,off,70,0,0,
69.0,on,64,127,0,
69.25,off,46,0,3,
69.25,off,67,0,1,
69.25,on,67,127,1,
69.25,on,48,127,3,
69.5,off,67,0,1,
69.5,off,48,0,3,
69.5,on,60,127,1,
69.5,on,46,127,3,
69.75,off,64,0,0,
69.75,off,46,0,3,
69.75,on,66,127,0,
69.75,on,45,127,3,
70.0,off,66,0,0,
70.0,off,45,0,3,
70.0,on,67,127,0,
70.0,on,43,127,3,
70.25,off,60,0,1,
70.25,on,57,127,1,
70.5,off,57,0,1,
70.5,on,58,127,1,
70.75,off,67,0,0,
70.75,on,64,127,0,
71.0,off,58,0,1,
71.0,off,64,0,0,
71.0,on,61,127,0,
71.0,on,57,127,1,
71.25,off,43,0,3,
71.25,on,40,127,3,
71.5,off,40,0,3,
71.5,on,41,127,3,
71.75,off,61,0,0,
71.75,on,69,127,0,
72.0,off,41,0,3,
72.0,off,69,0,0,
72.0,on,62,127,0,
72.0,on,46,127,3,
72.25,off,57,0,1,
72.25,on,53,127,1,
72.5,off,53,0,1,
72.5,on,55,127,1,
72.75,off,62,0,0,
72.75,on,65,127,0,
73.0,off,55,0,1,
73.0,off,65,0,0,
73.0,on,64,127,0,
73.0,on,60,127,1,
73.25,off,46,0,3,
73.25,on,43,127,3,
73.5,off,43,0,3,
73.5,on,45,127,3,
73.75,off,64,0,0,
73.75,on,72,127,0,
74.0,off,45,0,3,
74.0,off,72,0,0,
74.0,on,65,127,0,
74.0,on,50,127,3,
74.25,off,60,0,1,
74.25,on,57,127,1,
74.5,off,57,0,1,
